Co_Ref,Prospect_Renewal_Date,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
ME8032,12-02-2026,No,Neutral,Not Discussed
IQ7300,19-02-2026,No,Satisfied,Not Discussed
WZ5097,23-01-2026,No,Neutral,80
JZ3557,11-02-2026,No,Satisfied,Not Discussed
RV0970,14-02-2026,No,Satisfied,85
XU3970,19-02-2026,No,Not Discussed,Not Discussed
XJ2084,06-02-2026,No,Satisfied,Not Discussed
FW0491,09-02-2026,No,Satisfied,80
LV7231,02-02-2026,No,Satisfied,Not Discussed
ZH0844,30-01-2026,No,Neutral,Not Discussed
AV8034,01-02-2026,No,Neutral,60
DO9748,25-01-2026,No,Neutral,60
DN9061,09-02-2026,No,Satisfied,90
XS8402,30-01-2026,No,Neutral,80
JH2104,21-02-2026,No,Satisfied,Not Discussed
JE2366,14-02-2026,No,Not Discussed,Not Discussed
CL7386,07-02-2026,Yes,Satisfied,90
DL7923,21-01-2026,No,Neutral,70
HR8629,04-02-2026,No,Neutral,Not Discussed
GE4269,09-02-2026,No,Neutral,60
EM2018,15-02-2026,No,Satisfied,80
YG5626,24-01-2026,No,Satisfied,Not Discussed
VN8095,31-01-2026,No,Not Discussed,Not Discussed
WV4945,31-01-2026,No,Satisfied,85
VC5875,18-02-2026,No,Satisfied,Not Discussed
ZU6809,23-01-2026,No,Neutral,Not Discussed
GD6148,09-02-2026,No,Neutral,Not Discussed
DS6542,30-01-2026,No,Satisfied,85
KP7064,27-01-2026,No,Neutral,Not Discussed
OG1828,31-01-2026,No,Satisfied,Not Discussed
BL8985,14-02-2026,No,Neutral,80
NJ3962,12-02-2026,No,Neutral,Not Discussed
NE5369,23-01-2026,No,Satisfied,Not Discussed
XV7948,04-02-2026,No,Neutral,Not Discussed
OU4236,21-01-2026,No,Neutral,Not Discussed
DY2999,24-01-2026,No,Dissatisfied,40
XO1051,05-02-2026,No,Satisfied,Not Discussed
XO0018,30-01-2026,No,Satisfied,Not Discussed
BN3837,31-01-2026,No,Satisfied,Not Discussed
WC5240,16-02-2026,No,Satisfied,Not Discussed
BR6865,21-01-2026,No,Neutral,Not Discussed
VV9201,08-02-2026,No,Satisfied,Not Discussed
VQ2983,19-02-2026,No,Neutral,Not Discussed
WS3862,27-01-2026,No,Neutral,70
BD2042,20-01-2026,No,Satisfied,Not Discussed
UT7115,27-01-2026,No,Satisfied,Not Discussed
TR6793,20-02-2026,No,Satisfied,Not Discussed
CO0781,08-02-2026,No,Satisfied,Not Discussed
TD5883,08-02-2026,No,Neutral,Not Discussed
RN4494,21-01-2026,No,Neutral,Not Discussed
RD9694,10-02-2026,No,Satisfied,Not Discussed
QX9632,30-01-2026,No,Satisfied,Not Discussed
QN0935,05-02-2026,No,Satisfied,Not Discussed
DB4657,10-02-2026,No,Satisfied,90
WE9078,17-02-2026,No,Neutral,Not Discussed
KA5953,08-02-2026,No,Satisfied,80
IV2758,22-01-2026,No,Satisfied,Not Discussed
JT4048,31-01-2026,No,Neutral,80
ZM0529,05-02-2026,No,Satisfied,Not Discussed
YZ8434,14-02-2026,No,Neutral,Not Discussed
GA5539,03-02-2026,No,Not Discussed,Not Discussed
AH5662,11-02-2026,No,Not Discussed,Not Discussed
FA4332,17-02-2026,No,Satisfied,90
GI2753,14-02-2026,No,Neutral,80
JA7744,14-02-2026,No,Satisfied,Not Discussed
JA2425,14-02-2026,No,Neutral,Not Discussed
GQ4033,19-02-2026,No,Satisfied,Not Discussed
GE6149,09-02-2026,No,Satisfied,Not Discussed
UY4659,19-01-2026,No,Satisfied,Not Discussed
XP2253,29-01-2026,No,Satisfied,Not Discussed
AD1657,18-02-2026,No,Satisfied,90
FN1461,25-01-2026,No,Not Discussed,Not Discussed
DE2266,18-02-2026,No,Satisfied,Not Discussed
JY7520,12-02-2026,No,Dissatisfied,40
LR0042,25-01-2026,No,Neutral,Not Discussed
TW2143,01-02-2026,No,Not Discussed,Not Discussed
TQ1676,25-01-2026,No,Satisfied,Not Discussed
TQ0959,24-01-2026,No,Neutral,Not Discussed
RW8178,17-02-2026,No,Satisfied,90
TI7631,10-02-2026,No,Satisfied,Not Discussed
TC9987,30-01-2026,No,Satisfied,80
HW2600,12-02-2026,No,Not Discussed,Not Discussed
CF7236,20-01-2026,No,Satisfied,Not Discussed
TG7404,28-01-2026,No,Neutral,Not Discussed
LD9204,27-01-2026,No,Satisfied,Not Discussed
GM0918,05-02-2026,No,Neutral,Not Discussed
KJ6348,03-02-2026,No,Neutral,Not Discussed
HE2427,24-01-2026,Yes,Satisfied,80
GL4301,12-02-2026,No,Satisfied,Not Discussed
AO2205,31-01-2026,No,Not Discussed,Not Discussed
OJ4127,18-02-2026,No,Satisfied,Not Discussed
BR6387,21-01-2026,No,Satisfied,90
VT4492,22-01-2026,No,Neutral,Not Discussed
MK5287,27-01-2026,No,Neutral,Not Discussed
NT1616,03-02-2026,No,Not Discussed,Not Discussed
AN0848,01-02-2026,No,Neutral,Not Discussed
NA1121,17-01-2026,No,Not Discussed,Not Discussed
DB5675,23-01-2026,No,Neutral,Not Discussed
RR0475,08-01-2026,No,Neutral,Not Discussed
NI2515,06-02-2026,No,Satisfied,Not Discussed
XA4418,09-01-2026,No,Not Discussed,Not Discussed
GH2253,07-01-2026,No,Neutral,Not Discussed
TD3687,19-01-2026,No,Neutral,90
YR7819,30-01-2026,No,Neutral,Not Discussed
LZ5949,30-01-2026,No,Satisfied,Not Discussed
FL8114,02-02-2026,No,Not Discussed,Not Discussed
NL3111,02-02-2026,No,Satisfied,80
BF3302,13-01-2026,No,Neutral,Not Discussed
DH3575,24-01-2026,No,Satisfied,Not Discussed
OJ6757,07-01-2026,No,Satisfied,Not Discussed
JG6098,10-01-2026,No,Neutral,Not Discussed
CN8343,31-01-2026,No,Satisfied,Not Discussed
TZ3349,12-01-2026,No,Satisfied,Not Discussed
GC0852,03-02-2026,No,Satisfied,Not Discussed
VF3532,02-02-2026,No,Neutral,Not Discussed
GM9340,01-02-2026,No,Neutral,Not Discussed
HK4106,11-01-2026,No,Satisfied,Not Discussed
YU8249,07-01-2026,No,Satisfied,Not Discussed
FV1542,23-01-2026,No,Not Discussed,Not Discussed
