Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors
AA0584,2024-05-27,Won,No,No,No
AA0641,2024-11-29,Won,No,unknown,No
AA0784,2026-01-29,Won,No,No,No
AA0994,2025-01-25,Won,No,No,No
AA1155,2026-02-13,Won,No,Yes,No
AA1392,2024-06-14,Won,No,No,No
AA1742,2025-04-10,Won,No,unknown,No
AA2580,2025-07-31,Won,No,No,No
AA3881,2024-09-14,Won,No,No,No
AA3881,2025-09-14,Won,No,No,No
AA4063,2024-07-24,Won,No,No,No
AA4169,2024-10-15,Won,No,No,No
AA4169,2025-10-15,Won,No,No,No
AA4291,2024-11-17,Won,No,No,Yes
AA5455,2024-09-16,Won,No,No,No
AA5455,2025-09-16,Won,No,No,No
AA5603,2025-08-13,Won,No,No,No
AA5736,2024-08-03,Won,No,No,No
AA5764,2025-07-22,Won,No,No,No
AA6798,2024-12-02,Won,No,No,No
AA7026,2025-10-07,Won,No,No,No
AA7062,2025-05-08,Churned,No,No,Yes
AA7637,2025-02-04,Won,No,No,No
AA8596,2025-07-17,Won,No,No,Yes
AA8646,2024-10-17,Won,No,No,No
AA9926,2025-09-29,Won,No,No,No
AB0902,2025-04-19,Won,No,unknown,No
AB1212,2025-09-11,Won,No,No,No
AB1960,2025-04-29,Won,No,No,No
AB2451,2024-09-29,Won,No,No,No
AB3251,2024-11-26,Won,No,No,No
AB3560,2024-04-30,Won,No,No,No
AB3560,2025-04-30,Won,No,No,No
AB4616,2026-01-09,Churned,Yes,No,No
AB5038,2025-05-31,Won,No,No,Yes
AB5679,2025-02-25,Won,No,No,No
AB7075,2024-05-01,Churned,No,No,No
AB7963,2025-01-11,Won,No,No,No
AB7963,2026-01-11,Won,No,No,No
AB8043,2025-05-03,Churned,Yes,No,No
AB8719,2026-02-03,Won,No,No,No
AB8904,2025-07-21,Won,No,No,No
AB9496,2025-09-19,Won,No,No,No
AB9837,2025-02-09,Won,No,No,No
AC0502,2025-09-20,Won,No,No,No
AC1742,2025-02-25,Won,No,No,No
AC1804,2025-11-10,Won,No,No,No
AC1996,2024-08-30,Won,No,No,No
AC2811,2024-10-22,Won,Yes,Yes,No
AC2986,2025-04-20,Won,No,unknown,No
AC3946,2025-12-08,Won,No,Yes,No
AC4408,2025-10-04,Won,No,Yes,No
AC4484,2025-09-05,Won,No,No,No
AC5010,2026-03-03,Won,No,No,No
AC5334,2025-02-18,Won,No,No,No
AC5375,2024-07-30,Won,No,No,No
AC5613,2024-12-12,Won,No,No,No
AC6051,2025-12-16,Won,No,No,No
AC6096,2025-01-16,Won,No,No,Yes
AC7436,2024-06-02,Won,No,No,No
AC7497,2025-03-20,Won,No,No,No
AC8349,2024-12-10,Won,No,No,No
AC8349,2025-12-10,Won,No,No,No
AC8504,2024-06-20,Won,Yes,Yes,Yes
AC9302,2025-06-06,Churned,No,No,No
AC9742,2025-01-07,Won,No,No,No
AC9742,2026-01-07,Won,No,No,No
AD0114,2025-03-21,Won,No,unknown,No
AD0243,2026-01-09,Won,No,No,No
AD0668,2025-05-09,Won,No,No,Yes
AD0761,2025-04-19,Won,Yes,unknown,No
AD1072,2024-11-29,Won,No,No,Yes
AD1356,2024-05-03,Won,No,No,No
AD1655,2025-04-27,Won,No,unknown,No
AD1657,2026-02-18,Won,No,Yes,No
AD1681,2025-05-17,Won,No,No,No
AD1830,2024-12-05,Won,No,No,No
AD2140,2024-06-06,Won,No,No,No
AD2140,2025-06-06,Won,No,No,No
AD2220,2025-09-26,Won,No,No,No
AD3239,2025-03-21,Won,No,unknown,No
AD3246,2025-02-06,Won,No,No,No
AD3632,2024-10-25,Won,No,No,No
AD3632,2025-10-25,Won,No,No,No
AD3672,2025-01-12,Won,No,No,No
AD3672,2026-01-12,Won,Yes,Yes,No
AD3976,2025-06-24,Won,No,No,No
AD4863,2024-10-09,Won,No,No,No
AD5124,2025-11-09,Churned,No,No,No
AD7151,2025-06-23,Won,No,No,No
AD7382,2025-03-24,Won,No,No,No
AD7727,2025-06-04,Won,Yes,Yes,No
AD8539,2026-02-06,Churned,Yes,Yes,Yes
AD8939,2025-01-06,Won,No,No,No
AD9098,2025-11-07,Won,No,No,No
AD9995,2025-03-28,Won,No,unknown,No
AE0118,2024-09-19,Won,No,Yes,No
AE0118,2025-09-19,Churned,No,No,No
AE0497,2025-10-30,Won,No,No,No
AE0975,2025-12-03,Won,No,No,No
AE1618,2025-02-07,Won,No,No,No
AE2724,2025-04-15,Won,No,unknown,No
AE2866,2025-02-10,Won,No,No,No
AE4321,2025-10-11,Won,No,No,No
AE4702,2025-02-28,Won,No,No,No
AE4711,2025-12-11,Won,Yes,No,No
AE4799,2024-06-23,Won,No,No,No
AE5370,2025-04-11,Won,Yes,unknown,Yes
AE5387,2025-03-31,Won,No,unknown,No
AE5993,2024-11-29,Won,No,No,No
AE5993,2025-11-29,Won,No,No,No
AE6233,2024-11-10,Won,No,No,No
AE6233,2025-11-10,Won,No,No,No
AE6720,2025-06-19,Won,No,No,No
AE6844,2025-02-26,Won,No,No,No
AE7407,2025-04-04,Churned,No,unknown,No
AE7571,2024-11-25,Won,No,No,No
AE7667,2025-03-22,Churned,No,No,Yes
AE7735,2024-08-20,Won,No,Yes,No
AE8061,2025-07-16,Won,No,No,No
AE8207,2025-01-13,Won,No,No,No
AE8961,2025-11-16,Churned,No,No,No
AE9025,2025-03-26,Churned,No,unknown,No
AE9247,2025-06-25,Won,No,No,No
AE9291,2024-06-12,Won,No,No,No
AE9335,2024-12-22,Won,No,No,No
AE9335,2025-12-22,Won,No,No,No
AF0296,2024-04-30,Won,No,Yes,No
AF0296,2025-04-30,Won,No,Yes,No
AF1667,2024-11-10,Won,unknown,No,No
AF1969,2024-09-18,Won,No,Yes,No
AF1971,2025-12-21,Won,No,No,No
AF2042,2026-01-18,Won,No,No,No
AF2686,2024-05-15,Won,No,No,No
AF3164,2024-12-03,Won,No,unknown,No
AF3164,2025-12-03,Won,No,No,No
AF3809,2024-05-23,Won,No,No,Yes
AF4368,2025-12-21,Won,No,No,No
AF4598,2024-05-24,Won,No,No,No
AF5831,2025-12-06,Won,No,No,No
AF5853,2024-09-21,Won,No,No,No
AF5853,2025-09-21,Won,No,No,No
AF7087,2025-05-26,Won,No,No,No
AF7143,2025-03-28,Churned,No,unknown,Yes
AF7227,2025-12-16,Won,No,Yes,No
AF7284,2025-04-20,Won,No,No,No
AF8028,2024-11-18,Won,No,No,No
AF8183,2025-02-12,Won,No,No,No
AF8693,2024-11-03,Won,No,No,No
AF8693,2025-11-03,Won,No,No,Yes
AF9548,2024-06-12,Won,No,No,No
AF9548,2025-06-12,Won,No,No,No
AG0927,2025-01-09,Won,No,No,No
AG0927,2026-01-09,Won,No,No,No
AG1011,2026-01-05,Won,Yes,No,Yes
AG1723,2025-06-20,Won,No,Yes,No
AG2757,2024-06-14,Won,No,No,No
AG2870,2025-02-15,Won,No,No,No
AG3828,2024-06-28,Won,No,No,Yes
AG4578,2024-05-22,Won,No,No,No
AG4897,2024-10-11,Won,No,No,No
AG4971,2025-03-04,Won,No,No,Yes
AG4971,2026-03-04,Won,No,No,No
AG4986,2025-09-11,Won,No,No,No
AG5175,2024-07-27,Won,No,No,No
AG5519,2024-10-04,Won,No,No,No
AG5729,2024-08-10,Won,No,No,No
AG5729,2025-08-10,Won,No,No,No
AG5956,2024-10-14,Won,No,No,No
AG6811,2025-02-06,Won,No,No,No
AG7545,2025-08-27,Won,No,No,No
AG7687,2024-05-03,Won,No,No,No
AG7687,2025-05-03,Won,No,No,No
AG8127,2024-04-25,Won,No,No,No
AG8127,2025-04-25,Won,No,unknown,No
AG8323,2025-02-06,Won,No,Yes,No
AG8873,2025-04-09,Won,No,unknown,No
AG9655,2024-09-01,Won,No,No,No
AG9655,2025-09-01,Won,No,No,No
AG9946,2026-03-05,Won,No,No,No
AH0475,2024-08-30,Won,No,No,No
AH0530,2024-10-31,Won,No,No,No
AH0530,2025-10-31,Won,No,No,No
AH0535,2024-10-15,Won,No,Yes,No
AH0860,2025-05-25,Won,No,No,No
AH1089,2024-09-22,Won,No,Yes,No
AH1499,2025-03-14,Won,No,No,No
AH1806,2024-09-27,Won,No,No,No
AH2284,2024-05-22,Won,No,No,No
AH2523,2025-11-25,Won,No,No,No
AH2822,2025-08-08,Churned,No,Yes,No
AH3239,2024-07-19,Won,No,No,No
AH3239,2025-07-19,Won,No,No,No
AH3544,2025-02-16,Won,No,Yes,No
AH3842,2024-06-15,Churned,No,No,No
AH4514,2025-04-14,Won,No,unknown,No
AH5460,2025-12-06,Won,No,No,No
AH5736,2025-01-24,Won,No,No,No
AH5736,2026-01-24,Won,unknown,No,No
AH6347,2024-09-21,Won,No,No,No
AH6347,2025-09-21,Won,No,Yes,No
AH7064,2024-12-13,Won,No,No,No
AH7064,2025-12-13,Won,No,No,No
AH7303,2025-03-30,Won,No,unknown,No
AH9874,2024-06-14,Won,No,No,No
AH9874,2025-06-14,Won,No,No,No
AI0111,2025-12-23,Won,No,No,No
AI0168,2025-04-19,Won,No,unknown,No
AI1458,2024-10-25,Won,No,No,No
AI1458,2025-10-25,Won,No,No,No
AI2012,2025-05-11,Won,No,No,No
AI2605,2025-11-12,Won,No,No,No
AI3756,2025-05-07,Won,No,Yes,No
AI4079,2024-12-08,Won,No,No,No
AI4079,2025-12-08,Won,No,No,No
AI4931,2025-11-15,Won,No,No,No
AI5084,2025-05-16,Won,No,No,No
AI5460,2024-12-03,Won,unknown,Yes,No
AI5826,2024-10-19,Won,No,No,No
AI5826,2025-10-19,Churned,No,No,No
AI6146,2024-06-12,Won,No,No,No
AI6231,2024-09-26,Churned,No,No,No
AI6242,2024-12-09,Won,No,No,No
AI6389,2025-04-18,Won,No,No,No
AI6518,2024-06-10,Won,No,No,No
AI6518,2025-06-10,Won,No,No,No
AI7247,2025-02-17,Won,No,No,No
AI7580,2024-11-11,Won,No,No,Yes
AI9014,2025-09-18,Won,No,No,No
AI9173,2025-05-22,Won,No,No,No
AI9732,2025-03-28,Won,No,unknown,No
AI9760,2024-10-19,Won,No,unknown,No
AI9845,2024-11-01,Won,No,unknown,No
AI9845,2025-11-01,Won,No,No,No
AJ0687,2025-03-08,Won,No,Yes,Yes
AJ0926,2025-04-16,Won,No,unknown,No
AJ2542,2026-02-10,Won,No,No,No
AJ2910,2024-05-11,Won,No,No,No
AJ3222,2026-01-02,Won,No,No,No
AJ3572,2024-12-05,Won,No,No,No
AJ3775,2024-06-22,Churned,No,No,Yes
AJ3796,2024-06-07,Won,No,No,No
AJ4187,2025-09-28,Won,No,No,No
AJ4195,2025-08-15,Won,No,No,No
AJ4214,2024-07-01,Won,No,No,No
AJ5137,2024-06-14,Won,No,No,No
AJ6157,2026-01-15,Won,No,Yes,Yes
AJ6777,2024-08-02,Won,No,No,No
AJ6901,2024-06-04,Won,No,No,No
AJ7558,2025-04-27,Churned,No,No,No
AJ7990,2025-08-12,Won,No,No,No
AJ9346,2024-08-03,Won,No,No,No
AJ9884,2025-07-22,Won,No,No,No
AK1442,2024-06-15,Won,No,No,Yes
AK1442,2025-06-15,Won,No,No,No
AK1599,2024-09-28,Won,No,No,No
AK2139,2025-10-03,Won,No,No,No
AK2168,2024-08-23,Won,No,No,No
AK2292,2025-07-01,Won,No,No,No
AK2322,2025-10-04,Won,No,Yes,No
AK2715,2025-06-25,Won,No,No,No
AK3326,2025-02-02,Won,No,No,No
AK4149,2025-06-09,Won,No,No,No
AK5376,2025-09-30,Won,No,No,No
AK6594,2024-05-31,Churned,No,No,No
AK7168,2024-09-16,Won,No,No,No
AK7417,2025-03-28,Won,No,unknown,No
AK8057,2024-05-19,Won,No,No,No
AK8612,2025-04-23,Won,unknown,Yes,No
AK9807,2025-06-13,Won,No,No,No
