Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AA0106,Churned,2024-02-26,,,,,,,,,,,,,,,,0
AA0106,Won,2023-02-26,,,,,,,,,,,,,,,,0
AA0584,Won,2024-05-27,2024-05-01,No,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,2.0,2024.0,1
AA0641,Won,2024-11-29,2024-11-11,No,unknown,unknown,No,No,No,No,No,No,No,Not Discussed,No,3.0,2024.0,1
AA0750,Won,2025-12-01,,,,,,,,,,,,,,,,0
AA0750,Won,2024-12-01,,,,,,,,,,,,,,,,0
AA0784,Won,2026-01-29,2026-01-14,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2026.0,1
AA0923,Won,2026-01-24,,,,,,,,,,,,,,,,0
AA0994,Won,2025-01-25,2025-01-03,No,No,No,No,No,No,No,No,No,No,Renewed,No,6.0,2025.0,1
AA1155,Won,2026-02-13,2026-01-15,No,No,Yes,No,No,No,No,No,No,No,Not Discussed,No,1.0,2026.0,1
AA1263,Won,2025-06-27,,,,,,,,,,,,,,,,0
AA1392,Won,2024-06-14,2024-05-21,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AA1653,Won,2025-11-03,,,,,,,,,,,,,,,,0
AA1653,Won,2024-11-03,,,,,,,,,,,,,,,,0
AA1664,Won,2025-12-13,,,,,,,,,,,,,,,,0
AA1664,Won,2024-12-13,,,,,,,,,,,,,,,,0
AA1664,Won,2023-12-13,,,,,,,,,,,,,,,,0
AA1742,Won,2025-04-10,2025-03-24,No,unknown,unknown,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AA1872,Churned,2026-01-30,,,,,,,,,,,,,,,,0
AA2580,Won,2025-07-31,2025-07-04,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AA2827,Won,2024-11-21,,,,,,,,,,,,,,,,0
AA2827,Won,2025-11-21,,,,,,,,,,,,,,,,0
AA3180,Won,2025-07-14,,,,,,,,,,,,,,,,0
AA3180,Won,2024-07-14,,,,,,,,,,,,,,,,0
AA3180,Won,2023-07-14,,,,,,,,,,,,,,,,0
AA3525,Churned,2023-12-07,,,,,,,,,,,,,,,,0
AA3576,Churned,2023-05-08,,,,,,,,,,,,,,,,0
AA3881,Won,2024-09-14,2024-08-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AA3881,Won,2025-09-14,2025-08-21,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AA4063,Won,2024-07-24,2024-06-27,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2024.0,1
AA4169,Won,2024-10-15,2024-09-26,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AA4169,Won,2025-10-15,2025-09-18,No,No,No,Yes,No,No,No,No,No,No,Renewed,No,3.0,2025.0,1
AA4291,Won,2024-11-17,2024-10-28,No,No,No,No,No,No,No,No,No,Yes,Renewed,No,1.0,2024.0,1
AA4831,Won,2025-04-03,,,,,,,,,,,,,,,,0
AA4831,Won,2026-04-03,,,,,,,,,,,,,,,,0
AA4831,Won,2024-04-03,,,,,,,,,,,,,,,,0
AA4831,Won,2023-04-03,,,,,,,,,,,,,,,,0
AA4958,Churned,2023-03-31,,,,,,,,,,,,,,,,0
