Co_Ref,Prospect_Renewal_Date,Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score
AA0106,2023-02-26,,,,,,,,,,,
AA0106,2024-02-26,,,,,,,,,,,
AA0584,2024-05-27,Won,No,No,No,,,,,,,
AA0641,2023-11-29,,,,,,,,,,,
AA0641,2024-11-29,Won,No,unknown,No,No,No,No,No,,,
AA0641,2025-11-29,,,,,,,,,,,
AA0784,2026-01-29,Won,No,No,No,No,No,No,No,No,Neutral,Not Discussed
AA0794,,,,,,No,No,No,No,,,
AA0794,2023-07-10,,,,,,,,,,,
AA0794,2024-07-10,,,,,,,,,,,
AA0794,2025-07-10,,,,,,,,,,,
AA0923,,,,,,No,No,No,No,,,
AA0994,2025-01-25,Won,No,No,No,No,No,No,No,No,Neutral,80
AA1155,2026-02-13,Won,No,Yes,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AA1155,2026-02-13,Won,No,Yes,No,No,No,No,No,,,
AA1246,2023-10-14,,,,,,,,,,,
AA1246,2024-10-14,,,,,,,,,,,
AA1263,2025-06-27,,,,,,,,,,,
AA1392,2024-06-14,Won,No,No,No,No,No,No,No,,,
AA1394,,,,,,No,No,No,No,,,
AA1653,,,,,,No,No,No,No,,,
AA1653,2024-03-11,,,,,,,,,,,
AA1653,2025-03-11,,,,,,,,,,,
AA1664,,,,,,No,No,No,No,,,
AA1664,2023-12-13,,,,,,,,,,,
AA1664,2024-12-13,,,,,,,,,,,
AA1664,2025-12-13,,,,,,,,,,,
AA1742,2023-10-04,,,,,,,,,,,
AA1742,2024-10-04,,,,,,,,,,,
AA1742,2025-04-10,Won,No,unknown,No,No,No,No,No,,,
AA1742,2025-10-04,,,,,,,,,,,
AA1872,,,,,,No,Yes,Yes,No,,,
AA1872,2026-01-30,,,,,,,,,,,
AA2580,2025-07-31,Won,No,No,No,No,No,No,No,,,
AA2716,2023-05-04,,,,,,,,,,,
AA2716,2024-05-04,,,,,,,,,,,
AA2716,2025-05-04,,,,,,,,,,,
AA2827,,,,,,Yes,Yes,Yes,No,,,
AA3164,2023-02-20,,,,,,,,,,,
AA3164,2024-02-20,,,,,,,,,,,
AA3164,2025-02-20,,,,,,,,,,,
AA3164,2026-02-20,,,,,,,,,,,
AA3180,2023-07-14,,,,,,,,,,,
AA3180,2024-07-14,,,,,,,,,,,
AA3180,2025-07-14,,,,,,,,,,,
AA3525,2023-07-12,,,,,,,,,,,
AA3576,2023-08-05,,,,,,,,,,,
AA3881,2024-09-14,Won,No,No,No,No,No,No,No,,,
AA3881,2025-09-14,Won,No,No,No,No,No,No,No,,,
AA4063,2024-07-24,Won,No,No,No,No,No,No,No,,,
AA4169,2024-10-15,Won,No,No,No,,,,,,,
AA4169,2025-10-15,Won,No,No,No,,,,,,,
AA4291,2024-11-17,Won,No,No,Yes,,,,,,,
AA4831,2023-03-04,,,,,,,,,,,
AA4831,2024-03-04,,,,,,,,,,,
AA4831,2025-03-04,,,,,,,,,,,
AA4831,2026-03-04,,,,,,,,,,,
AA4886,,,,,,No,No,No,No,,,
AA4886,2023-10-24,,,,,,,,,,,
AA4886,2024-10-24,,,,,,,,,,,
AA4886,2025-10-24,,,,,,,,,,,
AA4958,2023-03-31,,,,,,,,,,,
AA5011,2023-07-06,,,,,,,,,,,
AA5433,2023-02-15,,,,,,,,,,,
AA5455,2024-09-16,Won,No,No,No,No,No,No,No,,,
AA5455,2025-09-16,Won,No,No,No,No,No,No,No,,,
AA5603,2023-08-13,,,,,,,,,,,
AA5603,2024-08-13,,,,,,,,,,,
AA5603,2025-08-13,Won,No,No,No,No,No,No,No,,,
AA5736,2024-08-03,Won,No,No,No,No,No,No,No,,,
AA5764,2025-07-22,Won,No,No,No,No,No,No,No,,,
AA6798,2024-12-02,Won,No,No,No,,,,,,,
AA6838,,,,,,No,No,No,No,,,
AA6838,2025-06-12,,,,,,,,,No,Dissatisfied,90
AA7026,2025-10-07,Won,No,No,No,Yes,Yes,Yes,No,,,
AA7062,2025-05-08,Churned,No,No,Yes,No,Yes,No,Yes,,,
AA7062,2025-08-05,,,,,,,,,,,
AA7408,2023-01-14,,,,,,,,,,,
AA7515,,,,,,No,No,No,No,,,
AA7515,2023-02-16,,,,,,,,,,,
AA7515,2024-02-16,,,,,,,,,,,
AA7515,2025-02-16,,,,,,,,,,,
AA7515,2026-02-16,,,,,,,,,,,
AA7637,2023-04-02,,,,,,,,,,,
AA7637,2024-04-02,,,,,,,,,,,
AA7637,2025-02-04,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AA7637,2025-02-04,Won,No,No,No,No,No,No,No,,,
AA7637,2025-04-02,,,,,,,,,,,
AA7724,2024-09-28,,,,,,,,,,,
AA7724,2025-09-28,,,,,,,,,,,
AA7809,2023-06-12,,,,,,,,,,,
AA7809,2024-06-12,,,,,,,,,,,
AA8377,2023-03-30,,,,,,,,,,,
AA8377,2024-03-30,,,,,,,,,,,
AA8377,2025-03-30,,,,,,,,,,,
AA8377,2026-03-30,,,,,,,,,,,
AA8596,2025-07-17,Won,No,No,Yes,No,No,No,No,,,
AA8646,2024-10-17,Won,No,No,No,No,No,No,No,,,
AA9024,2023-10-26,,,,,,,,,,,
AA9073,,,,,,No,No,No,No,,,
AA9571,,,,,,No,No,No,No,,,
AA9571,2024-03-21,,,,,,,,,,,
AA9571,2025-03-21,,,,,,,,,,,
AA9574,2025-01-18,,,,,,,,,,,
AA9574,2026-01-18,,,,,,,,,,,
AA9926,2023-09-29,,,,,,,,,,,
AA9926,2024-09-29,,,,,,,,,,,
AA9926,2025-09-29,Won,No,No,No,No,No,No,No,,,
AB0061,2023-01-02,,,,,,,,,,,
AB0061,2024-01-02,,,,,,,,,,,
AB0061,2025-01-02,,,,,,,,,,,
AB0061,2026-01-02,,,,,,,,,,,
AB0137,2023-09-27,,,,,,,,,,,
AB0137,2024-09-27,,,,,,,,,,,
AB0137,2025-09-27,,,,,,,,,,,
AB0290,,,,,,No,No,No,No,,,
AB0290,2023-02-26,,,,,,,,,,,
AB0290,2024-02-26,,,,,,,,,,,
AB0290,2025-02-26,,,,,,,,,,,
AB0290,2026-02-26,,,,,,,,,,,
AB0383,,,,,,No,No,No,No,,,
AB0407,,,,,,No,No,No,No,,,
AB0407,2023-04-23,,,,,,,,,,,
AB0407,2024-04-23,,,,,,,,,,,
AB0407,2025-04-23,,,,,,,,,,,
AB0551,2023-11-03,,,,,,,,,,,
AB0551,2024-11-03,,,,,,,,,,,
AB0551,2025-11-03,,,,,,,,,,,
AB0722,2023-11-19,,,,,,,,,,,
AB0902,2023-04-19,,,,,,,,,,,
AB0902,2024-04-19,,,,,,,,,,,
AB0902,2025-04-19,Won,No,unknown,No,No,No,No,No,,,
AB1160,2023-05-27,,,,,,,,,,,
AB1212,2025-09-11,Won,No,No,No,No,No,No,No,,,
AB1359,,,,,,No,Yes,No,No,,,
AB1359,2023-01-28,,,,,,,,,,,
AB1359,2024-01-28,,,,,,,,,,,
AB1359,2025-01-28,,,,,,,,,,,
AB1359,2026-01-28,,,,,,,,,,,
AB1789,2023-11-03,,,,,,,,,,,
AB1806,2024-06-22,,,,,,,,,,,
AB1870,2023-07-19,,,,,,,,,,,
AB1895,2023-12-01,,,,,,,,,,,
AB1895,2024-12-01,,,,,,,,,,,
AB1960,2023-04-29,,,,,,,,,,,
AB1960,2024-04-29,,,,,,,,,,,
AB1960,2025-04-29,Won,No,No,No,No,No,No,No,,,
AB2021,2023-06-29,,,,,,,,,,,
AB2021,2024-06-29,,,,,,,,,,,
AB2151,2024-02-28,,,,,,,,,,,
AB2419,2025-12-16,,,,,,,,,No,Satisfied,Not Discussed
AB2451,2023-09-29,,,,,,,,,,,
AB2451,2024-09-29,Won,No,No,No,No,No,No,No,,,
AB2451,2025-09-29,,,,,,,,,,,
AB2533,,,,,,No,No,No,No,,,
AB2533,2023-04-30,,,,,,,,,,,
AB2533,2024-04-30,,,,,,,,,,,
AB2533,2025-04-30,,,,,,,,,,,
AB2658,2023-07-04,,,,,,,,,,,
AB2658,2024-07-04,,,,,,,,,,,
AB2658,2025-07-04,,,,,,,,,,,
AB2727,,,,,,No,Yes,No,Yes,,,
AB2727,2025-02-19,,,,,,,,,,,
AB2865,2023-08-23,,,,,,,,,,,
AB2865,2024-08-23,,,,,,,,,,,
AB3211,,,,,,No,No,No,No,,,
AB3211,2023-09-18,,,,,,,,,,,
AB3211,2024-09-18,,,,,,,,,,,
AB3211,2025-09-18,,,,,,,,,,,
AB3251,2024-11-26,Won,No,No,No,No,No,No,No,,,
AB3560,2023-04-30,,,,,,,,,,,
AB3560,2024-04-30,Won,No,No,No,No,No,No,No,,,
AB3560,2025-04-30,Won,No,No,No,No,No,No,No,,,
AB4255,,,,,,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AB4255,,,,,,No,No,No,No,,,
AB4352,2023-01-19,,,,,,,,,,,
AB4352,2024-01-19,,,,,,,,,,,
AB4352,2025-01-19,,,,,,,,,,,
AB4352,2026-01-19,,,,,,,,,,,
AB4616,2026-01-09,Churned,Yes,No,No,Yes,Yes,Yes,Yes,,,
AB4616,2026-09-01,,,,,,,,,,,
AB4992,,,,,,No,No,No,No,,,
AB4992,2023-07-02,,,,,,,,,,,
AB4992,2024-07-02,,,,,,,,,,,
AB4992,2025-07-02,,,,,,,,,,,
AB4992,2026-07-02,,,,,,,,,,,
AB5038,2024-05-31,,,,,,,,,,,
AB5038,2025-05-31,Won,No,No,Yes,No,No,No,No,,,
AB5339,2023-10-28,,,,,,,,,,,
AB5411,,,,,,No,No,No,No,,,
AB5411,2023-08-03,,,,,,,,,,,
AB5411,2024-08-03,,,,,,,,,,,
AB5411,2025-08-03,,,,,,,,,,,
AB5411,2026-08-03,,,,,,,,,,,
AB5642,,,,,,No,No,No,No,,,
AB5642,2023-02-01,,,,,,,,,,,
AB5642,2024-02-01,,,,,,,,,,,
AB5642,2025-02-01,,,,,,,,,,,
AB5642,2026-02-01,,,,,,,,,,,
AB5664,2023-08-05,,,,,,,,,,,
AB5664,2024-08-05,,,,,,,,,,,
AB5679,2023-02-25,,,,,,,,,,,
AB5679,2024-02-25,,,,,,,,,,,
AB5679,2025-02-25,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AB5679,2025-02-25,Won,No,No,No,No,No,No,No,,,
AB5679,2026-02-25,,,,,,,,,,,
AB5808,2023-05-24,,,,,,,,,,,
AB6083,2023-05-14,,,,,,,,,,,
AB6083,2024-05-14,,,,,,,,,,,
AB6083,2025-05-14,,,,,,,,,,,
AB6123,,,,,,No,No,No,No,,,
AB6123,2023-01-20,,,,,,,,,,,
AB6123,2024-01-20,,,,,,,,,,,
AB6123,2025-01-20,,,,,,,,,,,
AB6123,2026-01-20,,,,,,,,,,,
AB6528,2023-02-25,,,,,,,,,,,
AB6762,,,,,,No,Yes,Yes,Yes,,,
AB6762,2025-04-22,,,,,,,,,,,
AB6880,,,,,,No,No,No,No,,,
AB6880,2023-07-06,,,,,,,,,,,
AB6880,2024-07-06,,,,,,,,,,,
AB6880,2025-07-06,,,,,,,,,,,
AB6930,,,,,,No,No,No,No,,,
AB6930,2025-07-10,,,,,,,,,,,
AB6939,2023-05-13,,,,,,,,,,,
AB7075,2023-01-05,,,,,,,,,,,
AB7075,2024-01-05,,,,,,,,,,,
AB7075,2024-05-01,Churned,No,No,No,,,,,,,
AB7529,2023-09-13,,,,,,,,,,,
AB7720,2023-01-03,,,,,,,,,,,
AB7720,2024-01-03,,,,,,,,,,,
AB7963,2023-11-01,,,,,,,,,,,
AB7963,2024-11-01,,,,,,,,,,,
AB7963,2025-01-11,Won,No,No,No,No,No,No,No,,,
AB7963,2025-11-01,,,,,,,,,,,
AB7963,2026-01-11,Won,No,No,No,No,No,No,No,,,
AB7963,2026-11-01,,,,,,,,,,,
AB8043,2024-03-05,,,,,,,,,,,
AB8043,2025-03-05,,,,,,,,,,,
AB8043,2025-05-03,Churned,Yes,No,No,Yes,Yes,No,No,,,
AB8719,2024-03-02,,,,,,,,,,,
AB8719,2025-03-02,,,,,,,,,,,
AB8719,2026-02-03,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AB8719,2026-02-03,Won,No,No,No,No,No,No,No,,,
AB8719,2026-03-02,,,,,,,,,,,
AB8848,,,,,,No,No,No,No,,,
AB8848,2025-07-18,,,,,,,,,,,
AB8904,2025-07-21,Won,No,No,No,No,No,No,No,,,
AB9483,,,,,,No,No,No,No,,,
AB9496,2025-09-19,Won,No,No,No,No,No,No,No,,,
AB9577,,,,,,No,No,No,No,,,
AB9577,2023-12-07,,,,,,,,,,,
AB9577,2024-12-07,,,,,,,,,,,
AB9577,2025-12-07,,,,,,,,,,,
AB9682,2023-09-16,,,,,,,,,,,
AB9682,2024-09-16,,,,,,,,,,,
AB9682,2025-09-16,,,,,,,,,,,
AB9837,2023-09-02,,,,,,,,,,,
AB9837,2024-09-02,,,,,,,,,,,
AB9837,2025-02-09,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AB9837,2025-02-09,Won,No,No,No,No,No,No,No,,,
AB9837,2025-09-02,,,,,,,,,,,
AB9837,2026-09-02,,,,,,,,,,,
AB9976,2025-07-26,,,,,,,,,,,
AC0174,2023-07-12,,,,,,,,,,,
AC0174,2024-07-12,,,,,,,,,,,
AC0174,2025-07-12,,,,,,,,,,,
AC0421,,,,,,No,No,No,No,,,
AC0421,2023-05-10,,,,,,,,,,,
AC0421,2024-05-10,,,,,,,,,,,
AC0421,2025-05-10,,,,,,,,,,,
AC0502,2025-09-20,Won,No,No,No,No,No,No,No,,,
AC0749,,,,,,No,No,No,No,,,
AC0749,2023-07-13,,,,,,,,,,,
AC0749,2024-07-13,,,,,,,,,,,
AC0749,2025-07-13,,,,,,,,,,,
AC1054,2023-01-27,,,,,,,,,,,
AC1054,2024-01-27,,,,,,,,,,,
AC1054,2025-01-27,,,,,,,,,,,
AC1054,2026-01-27,,,,,,,,,,,
AC1068,2023-06-27,,,,,,,,,,,
AC1068,2024-06-27,,,,,,,,,,,
AC1068,2025-06-27,,,,,,,,,,,
AC1429,,,,,,No,No,No,No,,,
AC1429,2025-05-31,,,,,,,,,,,
AC1671,,,,,,No,No,No,Yes,,,
AC1671,2023-07-29,,,,,,,,,,,
AC1671,2024-07-29,,,,,,,,,,,
AC1671,2025-07-29,,,,,,,,,,,
AC1742,2023-02-25,,,,,,,,,,,
AC1742,2024-02-25,,,,,,,,,,,
AC1742,2025-02-25,Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,
AC1742,2025-02-25,Won,No,No,No,No,No,No,No,,,
AC1742,2026-02-25,,,,,,,,,,,
AC1804,2024-10-11,,,,,,,,,,,
AC1804,2025-10-11,,,,,,,,,,,
AC1804,2025-11-10,Won,No,No,No,No,No,No,No,,,
AC1996,2023-08-30,,,,,,,,,,,
AC1996,2024-08-30,Won,No,No,No,,,,,,,
AC2094,2023-06-27,,,,,,,,,,,
AC2094,2024-06-27,,,,,,,,,,,
AC2094,2025-06-27,,,,,,,,,,,
AC2155,,,,,,No,No,No,No,,,
AC2155,2024-05-04,,,,,,,,,,,
AC2155,2025-05-04,,,,,,,,,,,
AC2373,2023-10-12,,,,,,,,,,,
AC2461,,,,,,No,No,No,No,,,
AC2461,2025-10-28,,,,,,,,,,,
AC2776,2023-07-10,,,,,,,,,,,
AC2776,2024-07-10,,,,,,,,,,,
AC2776,2025-07-10,,,,,,,,,,,
AC2811,2024-10-22,Won,Yes,Yes,No,No,No,No,No,,,
AC2864,,,,,,No,No,No,No,,,
AC2864,2025-05-13,,,,,,,,,,,
AC2986,2023-04-20,,,,,,,,,,,
AC2986,2024-04-20,,,,,,,,,,,
AC2986,2025-04-20,Won,No,unknown,No,No,No,No,No,,,
AC3034,,,,,,No,No,No,No,,,
AC3034,2025-10-14,,,,,,,,,,,
AC3520,,,,,,No,No,No,No,,,
AC3520,2025-08-01,,,,,,,,,No,Satisfied,Not Discussed
AC3946,2025-12-08,Won,No,Yes,No,No,Yes,No,Yes,,,
AC4328,2023-10-19,,,,,,,,,,,
AC4328,2024-10-19,,,,,,,,,,,
AC4328,2025-10-19,,,,,,,,,,,
AC4408,2025-04-10,,,,,,,,,No,Satisfied,80
AC4408,2025-10-04,Won,No,Yes,No,No,No,No,No,,,
AC4484,2025-09-05,Won,No,No,No,No,No,No,No,,,
AC4669,2023-08-08,,,,,,,,,,,
AC4828,2026-03-19,,,,,,,,,,,
AC4957,2023-04-02,,,,,,,,,,,
AC4957,2024-04-02,,,,,,,,,,,
AC5010,2026-03-03,Won,No,No,No,No,No,No,No,,,
AC5334,2023-02-18,,,,,,,,,,,
AC5334,2024-02-18,,,,,,,,,,,
AC5334,2025-02-18,Won,No,No,No,No,No,No,No,,,
AC5334,2026-02-18,,,,,,,,,,,
AC5375,2024-07-30,Won,No,No,No,No,No,No,No,,,
AC5440,2023-01-22,,,,,,,,,,,
AC5440,2024-01-22,,,,,,,,,,,
AC5440,2025-01-22,,,,,,,,,,,
AC5613,2024-12-12,Won,No,No,No,,,,,,,
AC5722,,,,,,No,No,No,No,,,
AC5722,2025-12-03,,,,,,,,,No,Satisfied,Not Discussed
AC5759,,,,,,No,No,No,No,,,
AC5972,,,,,,No,No,No,No,,,
AC5972,2025-10-01,,,,,,,,,,,
AC6051,2025-12-16,Won,No,No,No,No,No,No,No,No,Satisfied,90
AC6096,2024-01-16,,,,,,,,,,,
AC6096,2025-01-16,Won,No,No,Yes,No,No,No,No,,,
AC6096,2026-01-16,,,,,,,,,,,
AC6856,,,,,,No,No,No,No,,,
AC6856,2024-03-11,,,,,,,,,,,
AC6856,2025-03-11,,,,,,,,,,,
AC6874,,,,,,No,No,No,No,,,
AC6874,2023-03-19,,,,,,,,,,,
AC6874,2024-03-19,,,,,,,,,,,
AC6874,2025-03-19,,,,,,,,,,,
AC7013,,,,,,Yes,Yes,Yes,No,,,
AC7013,2023-08-12,,,,,,,,,,,
AC7013,2024-08-12,,,,,,,,,,,
AC7013,2025-08-12,,,,,,,,,,,
AC7113,2023-06-10,,,,,,,,,,,
AC7113,2024-06-10,,,,,,,,,,,
AC7113,2025-06-10,,,,,,,,,,,
AC7352,,,,,,No,No,No,No,,,
AC7436,2023-02-06,,,,,,,,,,,
AC7436,2024-02-06,,,,,,,,,,,
AC7436,2024-06-02,Won,No,No,No,No,No,No,No,,,
AC7436,2025-02-06,,,,,,,,,,,
AC7497,2025-03-20,Won,No,No,No,No,No,No,No,,,
AC7526,2023-04-22,,,,,,,,,,,
AC7526,2024-04-22,,,,,,,,,,,
AC7526,2025-04-22,,,,,,,,,,,
AC7526,2026-04-22,,,,,,,,,,,
AC8101,2023-03-24,,,,,,,,,,,
AC8349,2024-12-10,Won,No,No,No,No,No,No,No,,,
AC8349,2025-12-10,Won,No,No,No,No,No,No,No,,,
AC8504,2023-06-20,,,,,,,,,,,
