Prospect_Outcome,Renewal_Impact_Due_to_Price_Increase,Other_Complaint,Mentioned_Competitors,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,cc_business_struggles_financial_hardship,cc_contractor_sentiment,cc_contractor_sentiment_issues_score,Status_Scores,Sustainability_Score
Won,No,No,No,,,,,,,,9.0,9.5
Won,No,unknown,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,No,Neutral,Not Discussed,8.0,8.0
Won,No,No,No,No,No,No,No,No,Neutral,80,0.0,8.0
Won,No,Yes,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,,9.0,9.5
Won,No,Yes,No,No,No,No,No,,,,9.0,9.5
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,unknown,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,8.0,9.5
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,,,,,,,,9.0,8.0
Won,No,No,No,,,,,,,,9.0,8.0
Won,No,No,Yes,,,,,,,,9.0,9.5
Won,No,No,No,No,No,No,No,,,,7.0,9.0
Won,No,No,No,No,No,No,No,,,,7.0,9.0
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,9.0,9.5
Won,No,No,No,,,,,,,,,
Won,No,No,No,Yes,Yes,Yes,No,,,,,
Churned,No,No,Yes,No,Yes,No,Yes,,,,,
Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,Yes,No,No,No,No,,,,7.0,9.0
Won,No,No,No,No,No,No,No,,,,9.0,9.5
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,unknown,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,9.0,9.5
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Churned,Yes,No,No,Yes,Yes,Yes,Yes,,,,,
Won,No,No,Yes,No,No,No,No,,,,9.0,8.0
Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,,9.0,9.5
Won,No,No,No,No,No,No,No,,,,9.0,9.5
Churned,No,No,No,,,,,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,,
Churned,Yes,No,No,Yes,Yes,No,No,,,,,
Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,8.0,9.5
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,9.0,9.5
Won,No,No,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,,,,,,,,0.0,8.0
Won,Yes,Yes,No,No,No,No,No,,,,9.0,9.5
Won,No,unknown,No,No,No,No,No,,,,9.0,9.5
Won,No,Yes,No,No,Yes,No,Yes,,,,,
Won,No,Yes,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,9.0,9.0
Won,No,No,No,No,No,No,No,,,,9.0,9.5
Won,No,No,No,No,No,No,No,,,,8.0,8.0
Won,No,No,No,,,,,,,,9.0,8.0
Won,No,No,No,No,No,No,No,No,Satisfied,90,7.0,8.0
Won,No,No,Yes,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,8.0,9.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,Yes,Yes,Yes,No,No,No,No,,,,9.0,9.5
Churned,No,No,No,No,No,No,No,,,,0.0,8.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,No,No,No,No,No,No,,,,,
Won,No,unknown,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,Satisfied,Not Discussed,9.0,8.0
Won,No,unknown,No,No,No,No,No,No,Satisfied,Not Discussed,9.0,8.0
Won,No,No,No,,,,,,,,,
Won,No,No,Yes,No,No,No,No,,,,,
Won,Yes,unknown,No,No,Yes,No,Yes,,,,9.0,9.5
Won,No,No,Yes,No,No,No,No,,,,9.0,8.0
Won,No,No,No,No,No,No,No,,,,,
Won,No,unknown,No,No,No,No,No,,,,7.0,8.0
Won,No,Yes,No,Yes,Yes,Yes,No,No,Satisfied,90,8.0,8.0
